srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeans,dmeans,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,ct_src_ltm,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,is_ftp_login,attack_cat,label
192.168.1.105,53224,172.253.124.119,443,tcp,OTH,0.0484218597412109,41,52,128,117,0,0,https,846.7250167408516,1073.8951431835192,1,1,0,0,0,0,41.0,52.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
172.64.148.235,443,192.168.1.105,51933,tcp,OTH,0.0040111541748046,104,68,58,128,0,0,https,25927.69947693771,16952.726581074654,2,1,0,0,0,0,52.0,68.0,0,0,0.0,0.0,4.011154174804688,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
140.82.114.26,443,192.168.1.105,52287,tcp,OTH,0.059783935546875,105,69,44,128,0,0,https,1756.324655436447,1154.156202143951,2,1,0,0,0,0,52.5,69.0,0,0,0.0,0.0,59.783935546875,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.1.105,53312,172.217.215.94,443,tcp,OTH,0.048872947692871,41,52,128,117,0,0,https,838.9099069213808,1063.9832965832147,1,1,0,0,0,0,41.0,52.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.1.105,53366,23.32.152.236,443,tcp,OTH,0.0045890808105468,41,52,128,54,0,0,https,8934.251039068995,11331.245220282626,1,1,0,0,0,0,41.0,52.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.1.105,52295,185.199.111.133,443,tcp,OTH,0.0023250579833984,41,52,128,57,0,0,https,17633.9688269073,22365.03363412633,1,1,0,0,0,0,41.0,52.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.1.142,56166,239.255.255.250,3702,udp,CON,0.0,746,0,1,0,0,0,other,0.0,0.0,1,0,0,0,0,0,746.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
192.168.1.105,53369,192.168.1.254,53,tcp,OTH,0.0009629726409912,41,52,128,64,0,0,dns,42576.4951720723,53999.45729140876,1,1,0,0,0,0,41.0,52.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
146.75.93.140,443,192.168.1.105,52250,tcp,OTH,0.0036008358001708,235,120,57,128,0,0,https,65262.62596835066,33325.596239157785,4,3,0,0,0,0,58.75,40.0,0,0,1.4699742754201757,0.3648231207102987,1.2002786000569663,0.3650188446044922,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Normal,0
10.0.0.1,40000,192.168.1.1,80,ddp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0,2,0,2,1,1,1,4,0,0,Backdoor,1
10.0.0.2,40001,192.168.1.2,80,ipv6-frag,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0,2,0,2,2,2,2,7,0,0,Backdoor,1
10.0.0.3,40002,192.168.1.3,80,cftp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0,2,0,1,1,1,1,6,0,0,Backdoor,1
10.0.0.4,40003,192.168.1.4,80,wsn,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0,2,0,2,2,2,2,7,0,0,Backdoor,1
10.0.0.5,40004,192.168.1.5,80,pvp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0,2,0,11,1,1,1,4,0,0,Backdoor,1
